Gear_No,Oil Temperature (C),Wr Sleeve Pr CW (bar),Blk Passage Pr (bar),Gear Ratio,Flow Validation (lpm),NPD (bar),Efficiency CW (bar),Efficiency CCW (bar),Leakage CW (lpm),Leakage CCW (lpm),Leak Pr CW (bar),Leak Pr CCW (bar),Torque Bal 1 (Nm),Torque Bal 2 (Nm),Hysterisis CW(%),Hysterisis CCW(%),Direction,TT-CW,TT-CCW,TT-Diff,PCW,PCCW,CW_10.00,CW_31.00,CW_69.00,CW_90.00,CCW_10.00,CCW_31.00,CCW_69.00,CCW_90.00
V18FL42790,51.446713,12.272559,11.237891,37.291207,12.181653,2.454932,149.712056,147.448182,1.576371,0.508603,112.782885,113.382456,0.330371,0.330371,28.130918,38.752644,OK,1.105469,1.334961,0.229492,32.536816,30.932129,5.62,6.94,8.14,8.95,-5.22,-7.27,-8.58,-9.24
V18FL42791,52.250061,12.643262,12.577246,39.673596,12.861847,3.036572,149.414720,146.529353,0.831020,0.355617,112.758506,113.342979,0.939471,0.939471,35.910547,23.071164,OK,1.292969,1.342773,0.049805,34.312891,32.708203,4.71,7.34,8.08,8.70,-4.94,-6.40,-7.56,-8.31
V18FL42792,53.463189,12.443945,12.523926,42.488040,12.927468,3.041943,146.007061,148.507792,1.321131,0.209891,112.224793,114.325135,0.983136,0.983136,27.784111,41.121530,OK,1.156250,1.677734,0.521484,32.987500,32.642187,5.74,6.37,7.64,8.46,-4.20,-7.36,-9.11,-9.93
V18FL42793,55.247821,12.484570,11.795215,37.140911,12.420509,3.040625,146.034276,147.102460,1.686914,1.241261,112.726644,111.774753,0.067534,0.067534,21.641423,37.134412,OK,1.059570,1.221680,0.162109,33.940918,32.257520,5.29,7.35,8.30,9.03,-5.64,-7.41,-9.18,-9.62
V18FL42794,57.685762,11.595898,11.807910,40.880036,12.861847,2.757275,151.430621,148.625384,0.987857,1.161404,112.104839,111.591755,0.963474,0.963474,20.583747,38.694755,OK,1.004883,1.129883,0.125000,34.961621,32.072168,5.08,6.81,7.52,7.89,-5.24,-7.78,-9.57,-10.48
V18FL42795,57.083345,12.126563,11.025879,40.620515,12.861847,3.107178,148.317726,146.305992,1.213090,1.227561,111.335274,111.672686,0.094053,0.094053,22.570265,36.117895,OK,1.299805,1.268555,0.031250,33.596875,31.582129,3.80,6.30,7.18,7.70,-5.51,-6.39,-7.69,-8.40
V18FL42796,57.685762,12.511230,12.351270,37.957960,12.299921,3.106641,153.753859,151.344544,1.799964,0.875406,111.937335,112.324918,0.306915,0.306915,20.030059,41.767763,OK,1.010742,1.190430,0.179687,34.206250,32.800879,4.95,7.35,7.95,8.57,-4.95,-7.04,-8.96,-9.74
V18FL42797,55.755992,12.192578,11.609863,41.068421,12.861847,2.748633,150.817987,151.925143,0.778626,0.275785,113.790493,114.759334,0.281468,0.281468,25.269808,23.690122,OK,1.073242,1.469727,0.396484,34.298926,31.357422,4.79,7.25,7.82,8.41,-4.90,-6.97,-8.04,-8.70
V18FL42798,56.807395,12.762598,12.762598,47.141834,12.543484,2.765137,154.652889,147.795779,1.138179,0.438464,113.694493,113.945435,0.057011,0.057011,35.447423,24.794842,OK,1.297852,1.518555,0.220703,34.749609,32.417480,4.02,6.19,8.20,9.00,-4.40,-6.13,-7.37,-7.84
V18FL42799,53.959674,13.293262,12.046582,42.221227,12.605889,2.555664,148.969726,145.713763,1.830000,0.767993,112.609102,113.290742,0.124233,0.124233,34.977301,38.350522,OK,1.087891,1.262695,0.174805,36.459668,31.833496,4.88,6.22,8.06,8.90,-4.58,-6.34,-8.05,-8.56
V18FL42804,52.758233,12.377930,12.616602,43.076250,13.060741,3.294775,147.608319,147.124835,1.304636,0.453568,112.886128,113.145135,0.226755,0.226755,32.900624,32.490978,OK,1.208008,1.180664,0.027344,34.444922,32.257520,4.40,6.60,7.97,8.56,-4.61,-6.38,-7.75,-8.38
V18FL42809,53.987193,12.735938,12.285254,42.492796,13.060741,3.016504,149.821606,151.370044,1.779477,0.517943,112.116939,114.270646,1.233804,1.233804,19.492631,14.165308,OK,1.004883,1.262695,0.257812,36.299707,32.668848,4.57,6.92,7.69,7.83,-3.76,-5.69,-6.98,-7.47
V18FL42810,52.769919,12.484570,13.159961,43.704881,12.605889,3.013184,153.408801,145.105021,1.305434,1.138430,114.149285,112.998446,0.676500,0.676500,31.465173,28.147048,OK,1.095703,1.528320,0.432617,36.419043,33.080176,5.16,7.15,8.48,9.50,-4.23,-6.47,-8.24,-9.14
V18FL42811,52.592738,12.219238,11.875195,46.103316,12.927468,2.821484,147.146343,148.184013,1.358843,1.410194,112.336431,111.747100,0.138716,0.138716,26.335971,26.089633,OK,0.954102,1.271484,0.317383,35.531641,31.304102,5.36,6.53,7.74,8.56,-4.03,-6.39,-8.15,-9.07
V18FL42812,53.810012,12.550586,12.365234,35.180169,12.481694,3.221143,154.110809,146.278765,1.199220,0.581909,113.242762,112.910763,0.439113,0.439113,17.953212,31.692712,OK,1.276367,1.441406,0.165039,35.399609,34.430957,5.41,6.58,7.20,7.79,-3.78,-6.14,-8.03,-9.48
V18FL42813,55.271194,12.603906,12.404590,43.873850,12.543484,3.029443,147.968539,146.229113,1.815401,0.883840,111.630263,111.892622,0.555176,0.555176,28.148707,13.690274,OK,1.159180,1.750000,0.590820,35.266309,31.382812,5.89,6.80,7.84,8.07,-4.45,-6.25,-7.18,-7.47
V18FL42814,53.947987,13.371973,12.749902,38.082077,13.060741,3.732031,152.762099,145.948553,1.373533,0.946473,113.619219,112.859866,0.517175,0.517175,24.328225,25.634412,OK,1.125977,1.112305,0.013672,35.041602,31.528809,5.05,6.41,7.58,8.22,-4.70,-6.92,-7.92,-8.27
V18FL42815,55.007306,12.696582,13.013965,42.756419,12.796888,3.279297,148.830730,145.925698,1.402850,0.932217,113.715888,113.046287,1.207666,1.207666,32.269848,27.542717,OK,1.000977,1.186523,0.185547,37.493066,33.039551,5.00,7.04,8.29,8.78,-3.75,-5.83,-7.98,-8.69
V18FL42816,55.239904,11.688574,12.616602,34.947535,13.060741,3.135352,147.837265,145.284961,0.510072,0.737557,112.962888,112.227320,0.335235,0.335235,12.470869,39.872646,OK,0.943359,1.115234,0.171875,34.856250,32.298145,3.95,6.06,7.74,8.91,-3.78,-6.39,-8.08,-9.53
V18FL42817,56.295453,12.311914,12.431250,39.193224,12.481694,2.926611,149.767443,146.456373,1.184001,0.400902,112.675644,112.836455,1.484134,1.484134,29.780322,22.593522,OK,1.083984,1.622070,0.538086,37.480371,33.835547,4.87,6.95,8.40,9.19,-3.11,-5.47,-7.79,-8.32
V18FL42818,58.201850,12.112598,11.953906,38.172309,12.543484,3.204639,148.251211,145.505293,1.280083,0.651656,112.067349,111.911315,0.982419,0.982419,22.291797,37.301939,OK,1.166016,1.301758,0.135742,35.916309,31.754785,3.80,6.40,7.72,8.71,-5.01,-7.38,-8.96,-9.77
V18FL42819,54.503282,12.709277,12.418555,43.719840,12.543484,2.546729,152.206667,148.916645,1.311977,0.759651,113.917993,113.566781,0.264395,0.264395,24.714841,24.384502,OK,1.062500,1.109375,0.046875,35.200293,31.740820,3.88,5.94,7.40,8.04,-3.96,-6.20,-7.18,-7.82
V18FL42819,53.290154,13.371973,12.153223,38.903669,12.605889,3.490527,151.508553,147.726928,1.658888,0.954533,113.630504,113.348813,2.542056,2.542056,37.177752,99.885883,OK,1.098633,1.163086,0.064453,34.788965,32.032812,4.08,6.45,8.16,8.88,-9.00,-9.00,-9.00,-10.64
V18FL42821,52.907894,11.715234,12.179883,36.722537,12.299921,3.149658,149.744175,149.069359,0.582419,1.454422,113.153711,111.259574,0.199249,0.199249,7.194091,20.242251,OK,0.958984,1.201172,0.242187,34.590918,32.244824,4.95,6.75,7.87,8.42,-5.07,-6.96,-8.36,-9.22
V18FL42822,53.018350,12.682617,12.947949,30.986982,13.406263,3.651025,147.821354,146.486284,0.309355,0.508480,112.835569,113.175814,0.140300,0.140300,35.584729,46.318304,OK,1.028320,1.466797,0.438477,36.154980,33.887598,4.08,5.92,7.05,7.83,-3.96,-5.77,-6.89,-7.76
V18FL42823,53.341423,12.324609,12.550586,48.323573,13.406263,2.965967,147.621861,148.802022,0.704472,0.718200,112.582852,113.005468,0.081712,0.081712,39.755539,43.234173,OK,1.086914,1.065430,0.021484,38.699121,35.677637,4.18,6.06,6.79,7.20,-4.35,-5.98,-6.78,-7.14
V18FL42824,52.904125,13.676660,13.106641,40.004213,13.060741,3.158154,151.078684,147.524135,1.425791,0.586652,113.223674,112.966590,0.383085,0.383085,47.337402,50.837358,OK,1.149414,1.281250,0.131836,36.472363,33.530859,4.03,5.90,6.96,7.59,-4.36,-6.28,-7.27,-8.01
